Additional file 4 L-DMR IDOL library ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,chr,start,end,Cell_min,cell_max,cell_mean,Cell_deconv,CD8T,CD4T,NK,Bcell,Mono,Neu,Type,Probe_rs,Probe_maf,CpG_rs,CpG_maf,SBE_rs,SBE_maf,Islands_Name,Relation_to_Island,UCSC_RefGene_Name,Phantom4_Enhancers,Phantom5_Enhancers,DNase_Hypersensitivity_NAME,DNase_Hypersensitivity_Evidence_Count,Methyl27_Loci,Methyl450_Loci,function_group,distance,nearestGeneSymbol,nearestTranscript
cg04100356,chr1,21320504,21320505,0.038743199,0.920638649,0.734671904,Neu,0.920638649,0.867471905,0.858801186,0.916092557,0.806283926,0.038743199,II,NA,NA,NA,NA,NA,NA,,OpenSea,EIF4G3;EIF4G3;EIF4G3;EIF4G3,,,chr1:21320380-21320630,3,,,Body,56981,EIF4G3,uc009vpz.3
cg04100392,chr17,65809667,65809668,0.032448826,0.940189203,0.783037667,Bcell,0.933214382,0.930568844,0.931617096,0.032448826,0.940189203,0.93018765,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,chr17:65809660-65809935,3,,,Intergenic,12111,BPTF,uc010wqm.1
cg04136456,chr1,11413470,11413471,0.033992603,0.389121632,0.130764535,CD4T,0.149108108,0.389121632,0.095643562,0.082129811,0.034591492,0.033992603,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,chr1:11413260-11413570,3,,TRUE,Intergenic,80214,UBIAD1,uc001asg.3
cg04162316,chr17,78786355,78786356,0.412059671,0.9633708,0.850351558,CD4T,0.867281283,0.412059671,0.948675285,0.96217328,0.9633708,0.948549026,I,rs2672903,0.027512,NA,NA,NA,NA,chr17:78789590-78789832,N_Shelf,RPTOR;RPTOR,,,chr17:78786185-78786495,3,,TRUE,Body,267729,RPTOR,uc002jys.3
cg04208803,chr7,92466795,92466796,0.07845442,0.356590888,0.141440146,CD4T,0.151081763,0.356590888,0.090111966,0.090804165,0.07845442,0.081597676,II,NA,NA,NA,NA,NA,NA,chr7:92462201-92466387,S_Shore,CDK6;LOC101927497;LOC101927497;LOC101927497,,,chr7:92466060-92467110,3,,,TSS1500,853,CDK6,uc010lez.3
cg04250194,chr17,55363072,55363073,0.021575132,0.334347578,0.117663716,CD8T,0.334347578,0.159880001,0.141998331,0.026367045,0.021814209,0.021575132,II,NA,NA,NA,NA,NA,NA,,OpenSea,MSI2;MSI2,,,,,,,Body,564359,MRPS23,uc002ivc.3
cg04256891,chr2,97440190,97440191,0.033504981,0.374744675,0.133565368,CD4T,0.22540428,0.374744675,0.055640528,0.077287484,0.033504981,0.034810262,II,NA,NA,NA,NA,NA,NA,,OpenSea,CNNM4,,,,,,,Body,13550,CNNM4,uc002swx.3
cg04298647,chr11,96006253,96006254,0.369021985,0.815776112,0.713606404,CD4T,0.714776117,0.369021985,0.812363293,0.757659408,0.812041507,0.815776112,II,NA,NA,NA,NA,NA,NA,,OpenSea,MAML2,,,chr11:96006160-96006395,3,,,Body,68347,MIR1260B,uc021qoz.1
cg04329870,chr2,87048747,87048748,0.244628164,0.900828012,0.773723619,CD8T,0.244628164,0.84591471,0.862449901,0.892338913,0.896182011,0.900828012,II,rs13001400,0.030064,NA,NA,NA,NA,,OpenSea,CD8B;CD8B;CD8B,,,chr2:87048380-87048755,3,,TRUE,Body,40199,ANAPC1P1,uc010fgu.1
cg04658357,chr17,18911043,18911044,0.420196615,0.912053333,0.784655644,CD8T,0.420196615,0.690463916,0.892084437,0.88790159,0.905233974,0.912053333,II,rs140071836,0.027,NA,NA,NA,NA,chr17:18906909-18908243,S_Shelf,SLC5A10;SLC5A10,,,,,,TRUE,Body,55564,SLC5A10,uc002gut.2
cg04708975,chr19,40459334,40459335,0.028763218,0.412345153,0.145762192,NK,0.215199805,0.151424853,0.412345153,0.037195591,0.028763218,0.02964453,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,chr19:40459260-40459260,chr19:40459280-40459670,3,,,Intergenic,17576,PSMC4,uc002omq.4
cg04751498,chr3,44683607,44683608,0.676222537,0.94804869,0.893189601,CD4T,0.912833086,0.676222537,0.94804869,0.934289894,0.941340734,0.946402667,II,NA,NA,NA,NA,NA,NA,,OpenSea,ZNF197;ZNF197,,,,,,,Body,119564,KIAA1143,uc011bac.2
cg04790521,chr6,86101402,86101403,0.352328422,0.864865269,0.731419479,CD8T,0.352328422,0.709011433,0.824482812,0.793366187,0.864865269,0.84446275,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,,,,,Intergenic,57898,NT5E,uc003pkn.3
cg04841041,chr18,21544745,21544746,0.421089837,0.874552266,0.747689503,CD8T,0.421089837,0.638169176,0.872309121,0.874552266,0.832010374,0.848006245,II,rs73400384,0.031079,NA,NA,NA,NA,,OpenSea,,,,chr18:21544300-21544790,3,,,Intergenic,27990,TTC39C,uc002kuu.3
cg04842938,chr11,122604195,122604196,0.046024046,0.891380397,0.696844377,Mono,0.891380397,0.868319447,0.824385695,0.749558604,0.046024046,0.801398075,II,NA,NA,NA,NA,NA,NA,,OpenSea,UBASH3B,,,chr11:122604025-122604350,3,,,Body,77796,UBASH3B,uc001pyi.4
cg04880464,chr8,67447920,67447921,0.02265017,0.540281041,0.186001078,Neu,0.186129,0.152690164,0.027862012,0.02265017,0.186394083,0.540281041,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,chr8:67447907-67447907,,,,,Intergenic,77558,MYBL1,uc003xwj.3
cg04976477,chr2,238976651,238976652,0.592770893,0.941788711,0.844858433,CD8T,0.592770893,0.833345446,0.888221791,0.941788711,0.936688913,0.876334843,II,NA,NA,NA,NA,NA,NA,,OpenSea,SCLY;UBE2F-SCLY,,,,,,,Body,32298,ESPNL,uc002vxq.4
cg05065075,chr17,36476531,36476532,0.160979823,0.943178841,0.799301936,Mono,0.940869234,0.933968511,0.93442843,0.943178841,0.160979823,0.882386776,II,NA,NA,NA,NA,NA,NA,,OpenSea,MRPL45;MRPL45,,,chr17:36476325-36476735,3,,,Body,23541,MRPL45,uc002hpy.3
cg05085499,chr1,45276325,45276326,0.021884793,0.54376134,0.15306815,NK,0.250351258,0.046648636,0.54376134,0.026568406,0.021884793,0.029194469,I,NA,NA,NA,NA,NA,NA,chr1:45278765-45279644,N_Shelf,BTBD19,,,chr1:45275620-45276555,3,,,Body,3367,TCTEX1D4,uc001cmp.3
cg05089897,chr21,38886664,38886665,0.283215709,0.945946714,0.818346667,Neu,0.945946714,0.937504071,0.91255861,0.905037295,0.925817603,0.283215709,II,NA,NA,NA,NA,NA,NA,,OpenSea,DYRK1A;DYRK1A;DYRK1A;DYRK1A;DYRK1A,,,,,,TRUE,3'UTR,246830,DSCR3,uc002ywf.1
cg05298628,chr12,123379569,123379570,0.045972282,0.558893142,0.210673183,CD4T,0.234764179,0.558893142,0.045972282,0.29007092,0.069882396,0.064456178,II,NA,NA,NA,NA,NA,NA,chr12:123380333-123380894,N_Shore,VPS37B,,,chr12:123379245-123379755,3,,TRUE,Body,39095,HIP1R,uc001udk.1
cg05316439,chr1,100866354,100866355,0.161608364,0.865893006,0.348169803,Bcell,0.178093322,0.161608364,0.162652099,0.865893006,0.493730146,0.227041879,II,NA,NA,NA,NA,NA,NA,,OpenSea,CDC14A;CDC14A;CDC14A,,,,,,,Body,48330,CDC14A,uc009wec.1
cg05333648,chr11,117886486,117886487,0.216919634,0.693570391,0.345012089,CD4T,0.216919634,0.693570391,0.239068097,0.261361739,0.296207805,0.362944867,II,rs61740779,0.010204,NA,NA,NA,NA,,OpenSea,TMPRSS4-AS1,,,chr11:117885945-117886495,3,,,Body,29033,IL10RA,uc001prw.3
cg05366453,chr10,111829665,111829666,0.060610352,0.476542437,0.143389229,Neu,0.060610352,0.07444276,0.080918091,0.079308665,0.088513066,0.476542437,II,NA,NA,NA,NA,NA,NA,,OpenSea,ADD3;ADD3;ADD3,,,chr10:111829320-111829770,3,,,5'UTR,61525,ADD3-AS1,uc021pya.1
cg05381300,chr14,69195735,69195736,0.57736057,0.902146252,0.808452912,CD4T,0.790771543,0.57736057,0.848167248,0.847896811,0.902146252,0.884375049,II,rs75915843,0.032907,NA,NA,NA,NA,,OpenSea,,,chr14:69195496-69195496,,,,,Intergenic,64894,ZFP36L1,uc001xkh.2
cg05496363,chr11,66083766,66083767,0.342164449,0.892081623,0.775935631,CD8T,0.342164449,0.822504506,0.864383477,0.866988391,0.892081623,0.867491342,I,rs3741368,0.298028,NA,NA,NA,NA,chr11:66083572-66083782,Island,CD248,,,chr11:66083480-66084255,3,,TRUE,1stExon,747,CD248,uc001ohm.1
cg05575544,chr1,156662074,156662075,0.025503181,0.264557299,0.089312683,CD8T,0.264557299,0.111587319,0.04102827,0.067607541,0.025592489,0.025503181,II,rs11803948,0.066284,NA,NA,NA,NA,,OpenSea,,,,chr1:156661280-156662715,3,,,Intergenic,14884,NES,uc001fpq.3
cg05613635,chr7,43691169,43691170,0.40118907,0.893228219,0.606065085,Mono,0.40118907,0.401564814,0.634007097,0.699859119,0.893228219,0.606542189,II,NA,NA,NA,NA,NA,NA,,OpenSea,COA1;COA1,,,chr7:43690020-43691255,3,,,Body,68476,STK17A,uc003tih.3
cg05756986,chr11,4079345,4079346,0.021055486,0.458577114,0.150150492,NK,0.198118988,0.173607391,0.458577114,0.021055486,0.024214577,0.025329393,II,NA,NA,NA,NA,NA,NA,,OpenSea,STIM1;STIM1;STIM1,,,chr11:4079105-4079675,3,,,Body,217131,RHOG,uc001lyu.2
cg05936004,chr3,130693828,130693829,0.052921871,0.936335806,0.767967726,Neu,0.92962342,0.926771384,0.904602185,0.936335806,0.85755169,0.052921871,II,NA,NA,NA,NA,NA,NA,,OpenSea,ATP2C1;ATP2C1;ATP2C1;ATP2C1,,,,,,TRUE,Body,51806,ASTE1,uc010htm.1
cg05969889,chr6,143418703,143418704,0.551938752,0.95366504,0.877660543,CD4T,0.927186209,0.551938752,0.942679866,0.946143559,0.95366504,0.944349834,II,NA,NA,NA,NA,NA,NA,,OpenSea,AIG1;AIG1;AIG1;AIG1,,,chr6:143418380-143418710,3,,,Body,36618,AIG1,uc003qji.3
cg06005133,chr12,8309615,8309616,0.037244311,0.560332765,0.195572134,CD8T,0.560332765,0.397461823,0.081795654,0.048103281,0.048494967,0.037244311,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,chr12:8309440-8309835,3,,,Intergenic,15533,ZNF705A,uc001qud.1
cg06035956,chr5,379099,379100,0.728341419,0.939084466,0.883033593,CD8T,0.728341419,0.886708311,0.925481428,0.880990962,0.939084466,0.937594973,II,NA,NA,NA,NA,NA,NA,,OpenSea,AHRR;AHRR,,chr5:378611-378611,,,,,Body,56396,AHRR,uc010isz.3
cg06146156,chr4,106043656,106043657,0.319674838,0.936333459,0.785776195,CD4T,0.761109334,0.319674838,0.860191347,0.925268301,0.936333459,0.912079893,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,chr4:106043600-106043855,3,,,Intergenic,23374,TET2,uc021xqk.1
cg06213231,chr7,138728812,138728813,0.500368033,0.918397892,0.817924609,NK,0.819314211,0.865340926,0.500368033,0.911199014,0.918397892,0.892927577,II,NA,NA,NA,NA,NA,NA,,OpenSea,ZC3HAV1,,,,,,,3'UTR,35199,ZC3HAV1,uc003vuo.3
cg06335209,chr13,52247531,52247532,0.110599875,0.904091764,0.737223075,NK,0.879443639,0.904091764,0.110599875,0.789344047,0.859692634,0.880166495,II,NA,NA,NA,NA,NA,NA,,OpenSea,WDFY2,,,chr13:52247340-52247590,3,,,Body,130765,DHRS12,uc001vfq.4
cg06365890,chr7,139529311,139529312,0.045830264,0.723870618,0.303295343,CD8T,0.723870618,0.485119398,0.299464729,0.216247155,0.045830264,0.049239896,II,NA,NA,NA,NA,NA,NA,,OpenSea,TBXAS1;TBXAS1;TBXAS1;TBXAS1;TBXAS1;TBXAS1,,,chr7:139529205-139529950,3,,,5'UTR,199,TBXAS1,uc011kqx.1
cg06399735,chr8,18836280,18836281,0.060402892,0.721801506,0.29828786,Bcell,0.300813613,0.210501448,0.334558066,0.721801506,0.060402892,0.161649635,II,NA,NA,NA,NA,NA,NA,,OpenSea,PSD3,,chr8:18836263-18836263,chr8:18836065-18836695,3,,TRUE,Body,34914,PSD3,uc003wza.3
cg06419846,chr11,66083697,66083698,0.444180702,0.977529846,0.875975977,CD8T,0.444180702,0.934363843,0.960838807,0.974821064,0.977529846,0.964121603,I,NA,NA,NA,NA,NA,NA,chr11:66083572-66083782,Island,CD248,,,chr11:66083480-66084255,3,,TRUE,1stExon,816,CD248,uc001ohm.1
cg06443794,chr10,63754212,63754213,0.429409936,0.932269772,0.818680825,CD4T,0.862839105,0.429409936,0.840160218,0.922672393,0.932269772,0.924733525,II,NA,NA,NA,NA,NA,NA,,OpenSea,ARID5B,,,,,,,Body,211243,RTKN2,uc001jlv.3
cg06636347,chr7,100860246,100860247,0.024536282,0.348457903,0.116082067,CD8T,0.348457903,0.17006891,0.074395934,0.051602248,0.024536282,0.027431122,II,rs116380375,0.014335,NA,NA,NA,NA,chr7:100860297-100861029,N_Shore,PLOD3;ZNHIT1,,,chr7:100859985-100860575,3,,,Body,737,ZNHIT1,uc003uye.3
cg06700877,chr10,104169610,104169611,0.571826976,0.802579146,0.736849048,CD8T,0.571826976,0.715833332,0.783904081,0.802579146,0.769069813,0.777880941,I,NA,NA,NA,NA,NA,NA,chr10:104170168-104170872,N_Shore,PSD,,,chr10:104169485-104171115,3,,TRUE,Body,568,PSD,uc031pxd.1
cg06739462,chr12,56329296,56329297,0.421812091,0.923442202,0.799201659,CD4T,0.720609879,0.421812091,0.906668384,0.923442202,0.914561692,0.908115707,II,NA,NA,NA,NA,NA,NA,chr12:56329518-56329790,N_Shore,DGKA;DGKA;DGKA;DGKA,,,chr12:56329185-56329415,3,,TRUE,5'UTR,30548,PMEL,uc001siq.3
cg06766639,chr16,56742696,56742697,0.156294563,0.852165941,0.612996139,CD8T,0.156294563,0.425328705,0.595636594,0.81325385,0.852165941,0.835297179,II,rs77008102,0.036458,NA,NA,NA,NA,,OpenSea,,,chr16:56742451-56742451,chr16:56742325-56742710,3,,,Intergenic,40718,MT1G,uc002eju.1
cg06809364,chr3,152555206,152555207,0.677098417,0.933645169,0.882820947,CD4T,0.920697891,0.677098417,0.902462305,0.932429448,0.933645169,0.93059245,II,NA,NA,NA,NA,NA,NA,chr3:152552602-152553712,S_Shore,P2RY1;P2RY1,,,,,,TRUE,3'UTR,2469,P2RY1,uc003ezq.3
cg06892465,chr2,25633546,25633547,0.053246011,0.908261645,0.761783355,Bcell,0.908261645,0.903776438,0.896680554,0.053246011,0.907269646,0.901465836,II,NA,NA,NA,NA,NA,NA,,OpenSea,DTNB;DTNB;DTNB;DTNB;DTNB;DTNB;DTNB;DTNB,,,chr2:25633280-25633635,3,,,Body,368572,EFR3B,uc002rfw.2
cg06993524,chr20,16373293,16373294,0.041113271,0.943430502,0.787124202,Bcell,0.943430502,0.939888251,0.930600928,0.041113271,0.940014469,0.927697788,II,NA,NA,NA,NA,NA,NA,,OpenSea,KIF16B;KIF16B;KIF16B,,,chr20:16373065-16373495,3,,,Body,12484,KIF16B,uc002wpe.1
cg07195748,chr8,126503599,126503600,0.062748187,0.9115261,0.756144977,Neu,0.907274028,0.904534131,0.898953251,0.9115261,0.851834163,0.062748187,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,,,,,Intergenic,57655,TRIB1,uc010mdn.3
cg07215281,chr1,234544834,234544835,0.317629671,0.925419552,0.817929829,CD4T,0.911332,0.317629671,0.916099644,0.922469475,0.925419552,0.914628633,II,NA,NA,NA,NA,NA,NA,,OpenSea,TARBP1,,,,,,,Body,70013,TARBP1,uc001hwd.3
cg07232049,chr1,231093497,231093498,0.044686174,0.940580304,0.776226543,Bcell,0.930689434,0.895979478,0.911075677,0.044686174,0.940580304,0.93434819,II,NA,NA,NA,NA,NA,NA,,OpenSea,TTC13;TTC13,,,chr1:231093285-231093755,3,,,Body,21119,TTC13,uc001huf.4
cg07278181,chr3,71293767,71293768,0.737332956,0.93286245,0.808358795,Mono,0.76557567,0.849393151,0.757184179,0.737332956,0.93286245,0.807804367,II,NA,NA,NA,NA,NA,NA,,OpenSea,FOXP1;FOXP1,low-CpG:71376290-71376493,,,,,TRUE,5'UTR,113674,FOXP1,uc003doj.3
cg07302884,chr14,72064925,72064926,0.02602679,0.429476386,0.1054971,CD4T,0.063315269,0.429476386,0.032667644,0.0533855,0.028111009,0.02602679,II,NA,NA,NA,NA,NA,NA,,OpenSea,SIPA1L1;SIPA1L1;SIPA1L1;SIPA1L1,,,chr14:72064740-72064935,3,,,Body,24,SIPA1L1,uc010ttm.2
cg07337854,chr17,53246935,53246936,0.031590307,0.930790792,0.758131851,Bcell,0.930790792,0.919299182,0.891812742,0.031590307,0.886627357,0.888670729,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,,,,,Intergenic,200808,STXBP4,uc010dcc.1
cg07431832,chr18,9215818,9215819,0.161074226,0.931739255,0.796202144,Neu,0.931739255,0.928108792,0.916698943,0.924171315,0.915420336,0.161074226,II,NA,NA,NA,NA,NA,NA,,OpenSea,ANKRD12;ANKRD12;ANKRD12,,,,,,,Body,398448,PPP4R1,uc010wzo.2
cg07536161,chr2,87085357,87085358,0.653068136,0.870847833,0.81736803,CD8T,0.653068136,0.834539605,0.837918947,0.849212379,0.870847833,0.858621278,I,NA,NA,NA,NA,NA,NA,chr2:87088816-87089037,N_Shelf,CD8B;CD8B;CD8B;CD8B;CD8B,,,,,,TRUE,Body,3589,ANAPC1P1,uc010fgu.1
cg07617198,chr8,129251285,129251286,0.073949749,0.945605766,0.783541191,Mono,0.943833787,0.945007758,0.935973222,0.945605766,0.073949749,0.856876861,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,chr8:129251205-129251470,3,,,Intergenic,1002199,LINC00977,uc003ysp.2
cg07661835,chr16,89163578,89163579,0.101182154,0.875930216,0.664684584,CD8T,0.101182154,0.426930017,0.85892931,0.861492866,0.875930216,0.86364294,II,NA,NA,NA,NA,NA,NA,chr16:89167116-89167482,N_Shelf,ACSF3;ACSF3;ACSF3,,,chr16:89163385-89163815,3,,TRUE,Body,3360,ACSF3,uc002fmp.3
cg07731392,chr1,203737972,203737973,0.056409225,0.925916972,0.75106993,Neu,0.925916972,0.911020539,0.792414891,0.925271675,0.895386279,0.056409225,II,NA,NA,NA,NA,NA,NA,,OpenSea,LAX1;LAX1;LAX1,,,,,,,TSS1500,3687,LAX1,uc001haa.3
cg07879474,chr5,139064216,139064217,0.145991714,0.770037431,0.626479206,NK,0.650395348,0.675551106,0.145991714,0.765328889,0.770037431,0.751570746,II,NA,NA,NA,NA,NA,NA,chr5:139060555-139060934,S_Shelf,,,,chr5:139064040-139064255,3,,TRUE,Intergenic,201872,TMEM173,uc003lep.3
cg07898974,chr8,134837326,134837327,0.17616947,0.735768785,0.577903512,CD4T,0.617442426,0.17616947,0.622528794,0.735768785,0.713346631,0.602164965,II,rs2404035,0.050039,NA,NA,NA,NA,,OpenSea,,,,,,,,Intergenic,612049,WISP1,uc003yud.3
cg07910010,chr2,223448731,223448732,0.06622683,0.936087899,0.771077098,Neu,0.936087899,0.93317513,0.931392132,0.933969089,0.825611509,0.06622683,II,NA,NA,NA,NA,NA,NA,,OpenSea,FARSB;FARSB,,,,,,,Body,87724,MOGAT1,uc010fws.1
cg07984817,chr13,30434395,30434396,0.053566665,0.931301298,0.75995413,Neu,0.924074001,0.924032959,0.927803581,0.931301298,0.798946273,0.053566665,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,chr13:30434125-30434415,3,,,Intergenic,76271,LINC00544,uc010aav.3
cg07993518,chr16,27873489,27873490,0.081680189,0.916713928,0.763821884,Neu,0.914592073,0.903884343,0.906867355,0.916713928,0.859193417,0.081680189,II,rs6416641,0.387625,NA,NA,NA,NA,,OpenSea,GSG1L;GSG1L,,,,,,,Body,85301,KIAA0556,uc010vco.2
cg08046642,chr10,3939393,3939394,0.078655451,0.844527243,0.688386748,Neu,0.82151622,0.816125555,0.821825374,0.844527243,0.747670647,0.078655451,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,chr10:3939380-3939770,3,,,Intergenic,111919,KLF6,uc001iha.3
cg08078218,chr15,40846211,40846212,0.043197528,0.936313887,0.783575112,Bcell,0.934818138,0.929715144,0.93061828,0.043197528,0.936313887,0.926787694,II,NA,NA,NA,NA,NA,NA,,OpenSea,C15orf57;C15orf57;C15orf57;C15orf57,,,chr15:40845345-40846215,3,,,Body,11039,CCDC32,uc001zly.3
cg08156015,chr7,139408541,139408542,0.046415784,0.935556386,0.771839001,Bcell,0.900713362,0.906730126,0.919602946,0.046415784,0.935556386,0.9220154,II,NA,NA,NA,NA,NA,NA,,OpenSea,HIPK2;HIPK2,,,chr7:139408360-139408775,3,,,Body,69150,HIPK2,uc003vvd.4
cg08172426,chr13,99904123,99904124,0.25615886,0.832098534,0.641931869,CD8T,0.25615886,0.510559866,0.64769241,0.774375196,0.83070635,0.832098534,II,NA,NA,NA,NA,NA,NA,,OpenSea,UBAC2;UBAC2;UBAC2;MIR548AN,,,,,,,Body,50959,UBAC2,uc001voc.3
cg08305103,chr2,177800493,177800494,0.377822865,0.939763287,0.81621967,Mono,0.939763287,0.920876895,0.931163036,0.80909125,0.377822865,0.918600685,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,chr2:177800360-177800795,3,,,Intergenic,276927,HNRNPA3,uc002ulb.1
cg08316380,chr1,202191659,202191660,0.466997132,0.858110279,0.727743348,CD8T,0.466997132,0.674021284,0.751558842,0.858110279,0.810077755,0.805694798,II,NA,NA,NA,NA,NA,NA,,OpenSea,LGR6;LGR6;LGR6,,,chr1:202191340-202191795,3,,,Body,8375,LGR6,uc001gxw.3
cg08482894,chr3,49389050,49389051,0.033668059,0.688812142,0.239403318,CD8T,0.688812142,0.37195342,0.261157491,0.044758671,0.036070123,0.033668059,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,,chr3:49388960-49389490,3,,,Intergenic,6739,GPX1,uc021wxw.1
cg08490607,chr15,52300676,52300677,0.670723904,0.935579757,0.868760047,CD4T,0.890227287,0.670723904,0.905653868,0.902349504,0.935579757,0.908025963,II,rs75898356,0.018679,NA,NA,NA,NA,,OpenSea,,,,,,,,Intergenic,36717,LEO1,uc002abo.3
cg08560387,chr10,82247853,82247854,0.024909886,0.681237476,0.138883593,Bcell,0.029707496,0.033548531,0.027631684,0.681237476,0.036266487,0.024909886,II,rs77749208,0.042969,NA,NA,NA,NA,,OpenSea,TSPAN14;TSPAN14,low-CpG:82237812-82237848,chr10:82247433-82247433,chr10:82247485-82247855,3,,TRUE,5'UTR,33814,TSPAN14,uc001kci.4
cg08665903,chr7,137822735,137822736,0.08624438,0.645763754,0.279654224,Neu,0.306052699,0.268529763,0.188632655,0.08624438,0.182702095,0.645763754,II,rs2440805,0.455946,NA,NA,NA,NA,,OpenSea,,,,chr7:137822625-137822830,3,,,Intergenic,135887,CREB3L2,uc003vtw.3
cg08698943,chr10,3509758,3509759,0.10004771,0.891405343,0.407584618,Bcell,0.406709243,0.352592831,0.273835593,0.891405343,0.10004771,0.420916987,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,chr10:3509617-3509617,chr10:3509565-3510190,3,,TRUE,Intergenic,294724,PITRM1,uc001igr.2
cg08704621,chr9,108371059,108371060,0.269460717,0.923915444,0.80233577,NK,0.914242909,0.911247274,0.269460717,0.882279521,0.923915444,0.912868754,II,NA,NA,NA,NA,NA,NA,,OpenSea,FKTN;FKTN;FKTN,,,,,,,Body,33832,FKTN,uc010mtm.3
cg08769189,chr15,55562403,55562404,0.192371009,0.88269458,0.621868049,CD8T,0.192371009,0.659629739,0.510626325,0.88269458,0.804861201,0.681025441,II,NA,NA,NA,NA,NA,NA,,OpenSea,RAB27A;RAB27A;RAB27A;RAB27A;RAB27A;RAB27A,,,,,,TRUE,5'UTR,77,RAB27A,uc002aco.3
cg08844422,chr8,11743732,11743733,0.096823611,0.938492506,0.783997908,Mono,0.938492506,0.937240649,0.932213513,0.93664052,0.096823611,0.862576651,II,rs73546771,0.226071,NA,NA,NA,NA,,OpenSea,,,chr8:11743673-11743673,chr8:11743705-11743930,3,,,Intergenic,18085,CTSB,uc003wum.3
cg08965078,chr2,85791320,85791321,0.08861402,0.903395867,0.74971055,Mono,0.903395867,0.885258604,0.873017514,0.890407361,0.08861402,0.857569932,II,rs145176428,0.0169,NA,NA,NA,NA,chr2:85788411-85788739,S_Shelf,,,,chr2:85791320-85791595,3,,,Intergenic,2662,GGCX,uc002sps.3
cg09010370,chr15,74299452,74299453,0.047053951,0.407432757,0.145640963,NK,0.104653127,0.047053951,0.407432757,0.127680435,0.078420662,0.108604845,II,NA,NA,NA,NA,NA,NA,,OpenSea,PML;PML;PML;PML;PML;PML;PML;PML;PML,,,chr15:74299425-74299695,3,,,Body,9106,PML,uc002aww.1
cg09038998,chr5,179230698,179230699,0.128827466,0.429209072,0.23671729,NK,0.301092979,0.207836036,0.429209072,0.128827466,0.187385493,0.165952697,II,NA,NA,NA,NA,NA,NA,chr5:179232532-179234595,N_Shore,MGAT4B;MGAT4B,,,chr5:179230605-179230975,3,,,Body,822,MGAT4B,uc003mkr.3
cg09257735,chr14,93581049,93581050,0.078612183,0.655817172,0.230651117,CD4T,0.27437723,0.655817172,0.119941229,0.159336298,0.078612183,0.095822588,I,rs143237679,0.0101,NA,NA,NA,NA,chr14:93581083-93582797,N_Shore,ITPK1;ITPK1;ITPK1,,,,,,TRUE,Body,599,ITPK1,uc001ybf.3
cg09318840,chr2,87018944,87018945,0.150359448,0.616880828,0.456610669,CD8T,0.150359448,0.616880828,0.46492397,0.475400777,0.524296064,0.507802926,II,NA,NA,NA,NA,NA,NA,chr2:87015974-87018182,S_Shore,CD8A;CD8A;CD8A;CD8A,,,chr2:87018745-87018995,3,,TRUE,TSS200,16573,CD8A,uc002srv.3
cg09320888,chr14,72992037,72992038,0.432675825,0.945612476,0.857088761,NK,0.944377611,0.933272079,0.432675825,0.945612476,0.945350541,0.941244035,II,NA,NA,NA,NA,NA,NA,,OpenSea,RGS6;RGS6;RGS6;RGS6;RGS6;RGS6;RGS6;RGS6;RGS6;RGS6,,,,,,,Body,60634,RGS6,uc021rwc.1
cg09388301,chr8,101914671,101914672,0.052503435,0.926352026,0.775031982,Bcell,0.926352026,0.922476694,0.918334318,0.052503435,0.917963882,0.912561536,II,rs3105454,0.28221,NA,NA,NA,NA,,OpenSea,,,,,,,,Intergenic,48126,YWHAZ,uc011lhe.1
cg09398502,chr8,142099735,142099736,0.039549542,0.610761999,0.189241354,CD4T,0.341853069,0.610761999,0.052657469,0.039549542,0.045949719,0.044676327,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,chr8:142099604-142099604,chr8:142099465-142099835,3,,,Intergenic,38983,DENND3,uc003yvw.1
cg09469986,chr13,31017306,31017307,0.062594865,0.924095965,0.765822179,Bcell,0.887027021,0.901341958,0.896446065,0.062594865,0.9234272,0.924095965,II,NA,NA,NA,NA,NA,NA,chr13:31019860-31020137,N_Shelf,,,,chr13:31017045-31017435,3,,TRUE,Intergenic,69269,LINC00426,uc001usu.3
cg09521093,chr12,122224362,122224363,0.047866653,0.909145586,0.309422359,Bcell,0.16486166,0.259483742,0.184268202,0.909145586,0.29090831,0.047866653,II,NA,NA,NA,NA,NA,NA,,OpenSea,RHOF,,chr12:122224293-122224293,chr12:122224280-122224710,3,,,Body,7230,RHOF,uc001ubb.3
